Source (标准写法),Target (英文名称),Definition (释义),Context (上下文例句),Subject Field (适用范围),Notes (附注)
U-Boot,U-Boot,"开源 Bootloader 主阶段,启动后可进 fastboot;D-Robotics 当前版本 U-Boot 2022.04。",上电后长按空格键进入 U-Boot 命令行。,通用,"全称: Universal Boot Loader | 错误写法(勿用): uboot / Uboot / UBoot | 大写 U+大写 B+连字符。现有素材混用 U-Boot/uboot/Uboot,统一 U-Boot。"
Xmodem,Xmodem,"串口文件传输协议(1977),低速但无需 USB 驱动,适合空板/无系统状态拉起。",,通用,首字母大写。XBurn 中 X5 系列下载模式 `xmodem_fastboot` 用到本协议。
Fastboot,Fastboot,"USB 快速烧录协议(Android 生态),XBurn 推荐下载模式。",下载模式选择 Fastboot(推荐)。,通用(S100/S600),"错误写法(勿用): fastboot | 首字母大写(模式名);命令行 `fastboot 0` 全小写。空板烧录场景与 DFU 组合使用(DFU 拉起,Fastboot 烧录),组合关系文字描述不写加号连写。现有素材一词四形(dfu_fastboot/DFU+Fastboot/dfu-fastboot/DFU-Fastboot),手册以标准写法为准。"
DFU,DFU,"USB 设备固件升级协议(USB-IF 标准),用于空板拉起后进入烧录。",,通用(S100/S600),"全称: Device Firmware Upgrade | 错误写法(勿用): dfu | 大写。XBurn 空板烧录场景下与 Fastboot 组合使用(DFU 拉起板子,Fastboot 烧录),组合关系用文字描述,不写加号连写形式。"
xmodem_fastboot,xmodem_fastboot,X5/X5 Module 独有的下载模式:串口 Xmodem 传 + USB Fastboot 烧。,下载模式:选择 `xmodem_fastboot`。,X 系列(X5/X5 Module),"错误写法(勿用): Xmodem_fastboot / xmodem+fastboot / Xmodem+Fastboot / xmodem-fastboot | 全小写+下划线(非加号)。这是 X5 系列独有模式,S100/S600 不用。"
eMMC,eMMC,"嵌入式 MMC 闪存,S100 板载系统存储。",将镜像烧录至 eMMC。,S 系列(S100),"全称: embedded MultiMediaCard | 错误写法(勿用): EMMC / Emmc / emmc | 标准大小写。正文按标准 `eMMC`。UI 存储介质值显示小写 `emmc`,属界面待改,纳入界面待改清单,不迁就正文。"
UFS,UFS,"通用闪存,S600 板载系统存储。",S600 采用 UFS 存储介质。,S 系列(S600),"全称: Universal Flash Storage | 错误写法(勿用): ufs | 大写。正文按标准 `UFS`。UI 存储介质值显示小写 `ufs`,属界面待改,纳入界面待改清单,不迁就正文。"
NAND Flash,NAND,"NAND 闪存,X5 板载系统存储。",将固件写入板载 NAND Flash。,X 系列(X5/X5 Module),"全称: NAND Flash | 错误写法(勿用): Nandflash / NANDFlash / nand flash / nandflash | 正文器件描述用 `NAND Flash`(两词),单字简称 `NAND` 见英文名称(全大写)。UI 存储介质下拉存在 `Nand`/`Nandflash` 等异形(大小写与连写均不规范),属界面待改,纳入界面待改清单,不迁就正文标准写法。"
NOR Flash,NOR Flash,"NOR 闪存,支持 XIP 原地执行,常用于存储 bootloader 固件。",将 bootloader 烧录到 NOR Flash。,,"全称: NOR Flash | 错误写法(勿用): Norflash / NORFlash / nor flash / norflash / NORFLASH | 正文器件描述用 `NOR Flash`(两词,首字母大写)。与 NAND Flash 同为闪存类型,但 NOR 支持原地执行、随机读取快,写入/擦除慢,容量较小。"
NVMe,NVMe,"M.2 NVMe SSD,S100/S600 经 M.2 接口扩展(非板载系统存储),作系统盘启动;X5 无。",暂时不支持从 M.2 NVMe 固态硬盘启动。,S 系列(S100/S600),"全称: NVM Express | 错误写法(勿用): NVME / Nvme / nvme | 标准大小写(小写 e)。源码 Release Note 混用 `NVME`(全大写,不规范),需统一 NVMe。NVMe 在 XBurn 存储介质下拉里作为可烧录介质出现(S100/S600 经 M.2 扩展),注意'能烧'≠'能从它启动'(见 [[xburn-burn-vs-boot-nvme]]):S100 能烧 NVMe 但不支持从 NVMe 启动。"
USB hub,USB hub,"USB 集线器,扩展主机 USB 接口数量。批量烧录多台设备时经 USB hub 接入。",经 USB hub 接入超过 4 台设备时，可能因供电不足导致烧录失败。,,"全称: USB hub | 错误写法(勿用): USB Hub / USB HUB / usb hub | USB 保留大写(USB-IF 标准,见术语表 USB 条),hub 小写(通用名词非专有名词)。全仓曾混用 `USB Hub`(大写 H),统一为 `USB hub`。"
secure,secure,"XBurn 固件类型值,未烧 efuse 的板子用,**不做安全校验**的默认态。",固件类型:选择 `secure`。,通用(S100/S600/X5),"错误写法(勿用): Secure / SECURE | **命名陷阱**:字面像'安全',实为'不做安全校验'的默认态,别选错。全小写。X5 只此一档(不烧 efuse)。"
secure_ohp,secure_ohp,"XBurn 固件类型值,烧了 efuse 的板子用,做安全校验;XBurn v1.2.1 引入。",烧了 efuse 的板子固件类型选 `secure_ohp`。,S 系列(S100/S600),"错误写法(勿用): secure-ohp / secureOHP / Secure_ohp / secure ohp | 下划线全小写。现有素材漏写此 UI 值,手册补。判定:烧 efuse→secure_ohp;未烧→secure。不混入 lifecycle 语义(那是 OTA 另一回事)。"
non-secure,non-secure,"行业安全术语(TrustZone non-secure world),仅作镜像文件名修饰;D-Robotics SDK 无此版本,XBurn UI 无此选项。",,,"错误写法(勿用): nosecure / nonsecure / no-secure / Non-secure / Non-Secure | 带连字符。XBurn 固件类型只有 secure/secure_ohp 两档,不写 non-secure 选项,避免用户误以为有三档。"
USB,USB,"通用串行总线,XBurn 实际烧录场景全产品通用连接方式。",连接类型选择 `usb`。,通用,"全称: Universal Serial Bus | 错误写法(勿用): usb / Usb | 大写。正文按标准 `USB`。UI 连接类型值显示小写 `usb`,属界面待改,纳入界面待改清单,不迁就正文。"
Type-C,USB Type-C,"USB 物理接口形态,烧录用 Type-C 数据线连接 PC 与开发板。",使用 Type-C 数据线连接 PC 与开发板。,通用,"全称: USB Type-C | 错误写法(勿用): Type-c / type-c / Type C / TypeC / type c / TYPE-C | 首字母大写 T+连字符 `-` 不空格。正文器件描述用 `Type-C`,不写 `Type C`(空格)或 `TypeC`(连写)。"
Serial+USB,Serial+USB,"串口(控制)+ USB(数据)组合连接方式,X5 系列实际使用。",连接类型:选择 Serial+USB。,X 系列(X5/X5 Module),错误写法(勿用): serial+usb / Serial_USB / serial_usb / 串口+USB / 串口 +USB | 首字母大写+加号。
烧录,Flashing,将固件写入板载存储的过程。,使用 XBurn 完成系统烧录。,通用,错误写法(勿用): 刷机 / 烧写 / 烧入 / 下载
Wi-Fi,Wi-Fi,"无线局域网技术,板载无线连接方式之一。",开发板经 Wi-Fi 连接网络。,通用,"错误写法(勿用): WiFi / Wifi / wifi / WI-FI / Wi-fi | 大写 W+连字符+大写 F。Wi-Fi Alliance 官方写法。现有素材混用 WiFi/Wifi,统一 Wi-Fi。"
Type-A,USB Type-A,"USB 物理接口形态,标准矩形 USB 接口。",用 Type-A 数据线连接 PC。,通用,"全称: USB Type-A | 错误写法(勿用): Type A / TypeA / TYPE-A / Type-a / type-a | 首字母大写 T+连字符+大写 A,与 Type-C 写法对称(见术语表 Type-C 条)。正文器件描述用 `Type-A`,不写 `Type A`(空格)或 `TypeA`(连写)。"
D-Robotics,D-Robotics,RDK 开发者套件与 XBurn 工具的品牌方。,D-Robotics 提供 RDK 系列开发者套件。,通用,"错误写法(勿用): Digua / digua / DiGua / 地瓜 | 公司正式名。`Digua`/`地瓜` 为历史内部代号,英文文档与对外材料统一改 D-Robotics。仓内多处历史遗留见存量。"
登录,Sign in / Log in,用账号凭证进入系统或应用的认证动作。,在登录页输入账号密码。,通用,"错误写法(勿用): 登陆 | `登陆` 为同音错别字(登陆 = land,军事/地理义),技术语境用 `登录`。仓内 17 文件 28 处存量待纠偏。"
Rufus,Rufus,Windows 平台免费开源 USB 启动盘制作工具，RDK 用其完成 SD 卡单独烧录和在板烧录。,使用 Rufus 将系统镜像写入 Micro SD 卡。,通用,错误写法(勿用): rufus | 首字母大写。第三方工具名，非 D-Robotics 产品。
RDK Studio,RDK Studio,D-Robotics 开发者桌面工具，支持设备管理、系统烧录（含在线选择镜像下载）、模型部署等。,打开 RDK Studio，选择对应设备型号，按向导完成烧录。,通用,"错误写法(勿用): RDKstudio / Rdk Studio / rdk studio | RDK 全大写,Studio 首字母大写。"
MobaXterm,MobaXterm,Windows 平台远程终端工具，RDK 文档中用于串口登录调试开发板。,打开 MobaXterm，单击 Session > Serial 配置串口参数。,通用,错误写法(勿用): Mobaxterm / mobaXterm / mobaxterm | 首字母大 M+大写 X。第三方工具名，非 D-Robotics 产品。
Micro SD 卡,microSD card,微型 SD 存储卡，RDK 开发板系统启动介质。,准备至少 16GB 容量的 Micro SD 卡。,通用,错误写法(勿用): microSD 卡 / Micro SD 存储卡 / TF 卡 / micro SD 卡 | 中文正文统一用 `Micro SD 卡`（非 `Micro SD 存储卡`、`TF 卡`）。英文用 `microSD card`（SD Association 官方写法）。
Sleep 按键,Sleep button,RDK 开发板上的硬件按键，长按进入烧录模式（UMS），将 SD 卡或 eMMC 映射为 U 盘。,按住 Sleep 按键不放，给开发板上电，等待约 5s。,X 系列(X5/X5 Module),错误写法(勿用): sleep 按键 / Sleep 按钮 / Sleep 键 / SLEEP 按键 | 首字母大写 S。按键名统一 `Sleep`，不写 `SLEEP` 或 `sleep`。
PoE,PoE (Power over Ethernet),以太网供电，RDK X5 支持通过网口为开发板供电。,更多供电方式参见 PoE 供电使用。,X 系列(X5),全称: Power over Ethernet | 错误写法(勿用): POE / poe / Poe | P 大写 + o 小写 + E 大写。
空板,empty board,未烧录任何系统或固件的开发板，需要通过 XBurn 的 xmodem_fastboot 模式首次烧录。,xmodem_fastboot 适用于空板或设备无法正常启动的场景。,通用,错误写法(勿用): 无系统板 / 空白板 | 不写 `裸板`（裸板通常指未焊元件的裸 PCB，与本术语含义不同）。
